,Unnamed: 0,Plot,Subplot,Species,Light_ISF,Light_Cat,Core,Soil,Sterile,Conspecific,Myco,SoilMyco,AMF,EMF,Phenolics,Lignin,NSC,Census,Time,Event,Harvest,Season,Alive
1007,1007,13,4,2,0.086,2,2016,6,0,2,2,1,17.0,52.17,5.21,18.72,22.81,7,24.5,0.0,1,1,0
1008,1008,13,4,2,0.086,2,2016,4,0,2,2,2,7.0,17.14,4.99,17.17,22.92,7,24.5,0.0,1,1,0
1009,1009,13,2,3,0.093,2,2017,5,1,1,2,3,53.0,34.78,3.47,22.99,16.41,7,24.5,0.0,1,1,0
1010,1010,7,4,1,0.08,2,2017,4,0,2,1,2,15.42,31.345,-0.21,13.91,12.19,17,59.5,1.0,0,2,0
1011,1011,13,4,2,0.086,2,2017,1,0,2,2,1,26.0,27.91,4.06,25.14,15.52,7,24.5,0.0,1,1,0
1012,1012,13,2,3,0.093,2,2017,1,0,2,2,1,0.0,0.0,2.57,24.1,12.36,7,24.5,0.0,1,1,0
1013,1013,13,2,1,0.093,2,2017,3,0,2,1,1,15.25,19.355,-0.12,13.57,12.18,7,24.5,1.0,0,2,0
1014,1014,13,4,3,0.086,2,2017,3,0,2,2,1,9.0,38.71,3.42,22.97,16.4,7,24.5,0.0,1,1,0
1015,1015,7,4,2,0.08,2,2016,5,1,1,2,3,0.88,0.0,2.95,20.48,17.7,33,115.5,0.0,0,1,1
1016,1016,13,4,1,0.086,2,2017,7,0,2,1,2,11.81,15.24,-0.03,14.03,12.43,7,24.5,1.0,0,2,0
1017,1017,7,4,3,0.08,2,2017,3,0,2,2,1,19.94,30.48,3.57,26.77,14.48,33,115.5,0.0,0,1,1
1018,1018,13,2,2,0.093,2,2017,1,0,2,2,1,5.0,25.0,3.95,22.69,17.25,7,24.5,0.0,1,1,0
1019,1019,13,4,1,0.086,2,2016,6,0,3,1,1,18.1,27.276666666666667,0.48,13.62,12.36,7,24.5,1.0,0,2,0
1020,1020,7,2,1,0.079,2,2017,5,1,1,1,3,9.58,29.55333333333333,-0.04,12.96,12.45,19,66.5,1.0,0,1,0
1021,1021,7,2,3,0.079,2,2017,1,0,2,2,1,18.09,31.83,3.14,26.05,12.98,33,115.5,0.0,0,1,1
1022,1022,13,4,2,0.086,2,2017,1,0,2,2,1,7.0,75.0,4.18,18.73,25.04,7,24.5,0.0,1,1,0
1023,1023,7,2,3,0.079,2,2016,1,0,2,2,1,18.09,31.83,3.14,26.05,12.98,33,115.5,0.0,0,1,1
